fen,played_move,best_move,delta,category
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f1b5,g1f3,71,inaccuracy
rnbqkbnr/pppp1ppp/8/1B2p3/4P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,d8g5,c7c6,149,inaccuracy
rnb1kbnr/pppp1ppp/8/1B2p1q1/4P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,g2g3,g1f3,76,inaccuracy
rnb1k1nr/pppp1ppp/8/1Bb1p1q1/4P3/6P1/PPPP1P1P/RNBQK1NR w KQkq - 1 4,d2d4,b1c3,92,inaccuracy
rnb1k1nr/pppp1ppp/8/1Bb1p1q1/3PP3/6P1/PPP2P1P/RNBQK1NR b KQkq - 0 4,c5d4,g5g6,700,blunder
rnb1k1nr/pppp1ppp/8/1B2p1q1/3bP3/6P1/PPP2P1P/RNBQK1NR w KQkq - 0 5,c1g5,c1g5,60,inaccuracy
rnb1k1nr/pp1p2pp/2p2p2/4p3/2B1P3/4B1P1/P1PN1P1P/Q3K1NR b Kkq - 1 9,g8h6,g8e7,74,inaccuracy
rnb1k2r/pp5p/2pp1p1p/4p3/2B1P3/5NP1/P1PN1P1P/Q3K2R w Kkq - 0 12,a1b1,a2a4,74,inaccuracy
r1b4r/4k2p/2pp1p1p/pp2p3/2P1n3/PN3NPP/B4P2/1Q2K2R b K - 0 18,b5c4,e4c3,80,inaccuracy
r6r/4k2p/2p1bp1p/p2pp3/8/PB2QNPP/5P2/5RK1 b - - 2 22,a8b8,h8b8,77,inaccuracy
1rr5/3k3p/2p1bp1p/p1Qpp3/B7/P4NPP/5P2/5RK1 w - - 7 25,g1h2,f1e1,69,inaccuracy
1rr1k3/7p/2p1bp2/p1Qpp2p/B7/P4NPP/5P1K/2R5 w - - 2 27,c5a5,c5d6,148,inaccuracy
1rr1k3/3b3p/2p2p2/2Qpp2p/B7/P4NPP/5P1K/2R5 b - - 2 28,b8a8,b8b2,62,inaccuracy
rr2k3/3b3p/2p2p2/3pp2p/BQ6/P4NPP/5P1K/2R5 w - - 5 30,b4h4,b4d6,116,inaccuracy
1r6/3bk2p/2B2p2/3pp2p/7Q/r4NPP/5P1K/2R5 w - - 0 32,c6d7,f3e5,122,inaccuracy
1r6/3Bk2p/5p2/3pp2p/7Q/r4NPP/5P1K/2R5 b - - 0 32,e7d7,a3f3,260,blunder
1r6/3k3p/5p2/3pp2p/7Q/r4NPP/5P1K/2R5 w - - 0 33,h2g2,h4f6,376,blunder
1r6/3k3p/5p2/3pp2p/7Q/r4NPP/5PK1/2R5 b - - 1 33,b8f8,e5e4,59,inaccuracy
5r2/3k3p/5p2/3pp2p/7Q/r4NPP/5PK1/2R5 w - - 2 34,h4h5,h4b4,223,blunder
5r2/3k3p/5p2/3pp2Q/8/r4NPP/5PK1/2R5 b - - 0 34,e5e4,d7d8,99196,blunder
r4r2/6Q1/2R2p2/3p4/4p1Pk/7P/4NPK1/8 w - - 3 42,g7h6,g7h6,199999,blunder
