fen,played_move,best_move,category,motif,confidence,puzzle_fen,puzzle_moves,puzzle_rating,puzzle_motif
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,c6d4,c6e7,blunder,deflection,0.3788596987724304,5bk1/5p1p/6p1/3B4/2P4P/6PK/p4Q2/8 b - - 0 36,a2a1q f2f7 g8h8 f7f8,899,deflection
r1bqkbnr/pppp1ppp/8/3Pp3/3nP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,f1c4,c2c3,blunder,fork,0.3122093081474304,3r4/2q2k1p/p1b3p1/1p6/7Q/2P5/PP3PPP/4R1K1 b - - 1 26,f7g7 e1e7 c7e7 h4e7,898,fork
r1bqkbnr/pp3ppp/2p5/1n2p3/2B1P3/2P5/PP3PPP/RNBQK1NR w KQkq - 0 7,d1f3,c4f7,blunder,fork,0.36203956604003906,5k2/2q1p2p/3P2p1/1pB2p2/4NP2/8/6PP/6K1 b - - 0 32,e7d6 c5d6 c7d6 e4d6,728,fork
r2qk2r/p2nbppp/8/1Q2p2b/4P3/2P2P2/PP2N1PP/RNB1K2R w KQkq - 5 15,f3f4,e2g3,blunder,fork,0.3348371684551239,r3r3/4p1kp/p5p1/2N5/1p1n1Pb1/1P1P3P/P6K/1R2Q3 w - - 0 28,h3g4 d4f3 h2g2 f3e1,617,fork
r2qk2r/p2nbppp/8/1Q2p2b/4PP2/2P5/PP2N1PP/RNB1K2R b KQkq - 0 15,h5e2,a8b8,blunder,pin,0.37281426787376404,8/2k1bQ2/8/pP6/P1Pp3p/3P1N1P/4qPPK/8 w - - 2 63,f7f4 e7d6 f4d6 c7d6,769,pin
r2q1rk1/p2nbppp/8/1Q6/4PB2/2P5/PP2K1PP/RN5R w - - 1 18,h2h4,h1d1,blunder,fork,0.3691226840019226,5r2/1p6/p1n3kp/4p1p1/1PP1Pn2/P1B4P/3R2B1/6K1 w - - 4 34,d2d7 f4e2 g1h1 e2c3,863,fork
r2q1rk1/p2nbppp/8/1Q6/4PB2/2P3P1/PP2K3/RN5R w - - 1 20,b5h5,h1d1,blunder,fork,0.36626720428466797,3q1rk1/4pp1p/p2p2p1/3P2n1/1Pp1P3/P5P1/1Q3P1P/R3K2R w KQ - 1 23,b2d4 g5f3 e1f1 f3d4,826,fork
r2q1rk1/p4ppp/3b1n2/8/4PB2/2P3PQ/PP2K3/RN5R w - - 5 22,e4e5,b1d2,blunder,discoveredAttack,0.3645794093608856,1r1r2k1/5ppp/p2pp1q1/2p5/2P3R1/1P5P/4QPP1/3R2K1 b - - 4 31,g6h5 g4g7 g8g7 e2h5,708,discoveredAttack
r2q1rk1/p4ppp/5n2/4B3/8/2P3PQ/PP2K3/RN5R b - - 0 23,d8e7,f8e8,blunder,sacrifice,0.4600510895252228,4r1k1/p1b1r1p1/6Q1/8/8/2B4P/P5P1/5R1K w - - 9 37,f1f3 e7e1 c3e1 e8e1 f3f1 e1f1,552,sacrifice
r3r1k1/p3qppp/5n2/4BQ2/8/2P3P1/PP2K3/RN5R w - - 3 25,e2f3,e2d3,blunder,pin,0.542388916015625,6k1/ppb2pp1/4p2p/4P3/2PN4/1P5P/P4PP1/6K1 w - - 2 28,f2f4 c7b6 g1f2 b6d4,832,pin
